"shortName","lineCode","direction","lineDestinationMarker","lineOriginMarker","vehiclesQuantityLocalized","vs/0/prefix","vs/0/accessible","vs/0/localizedAt","vs/0/latitude","vs/0/longitude","vs/1/prefix","vs/1/accessible","vs/1/localizedAt","vs/1/latitude","vs/1/longitude","vs/2/prefix","vs/2/accessible","vs/2/localizedAt","vs/2/latitude","vs/2/longitude","vs/3/prefix","vs/3/accessible","vs/3/locatlizedAt","vs/3/latitude","vs/3/longitude","vs/4/prefix","vs/4/accessible","vs/4/localizedAt","vs/4/latitude","vs/4/longitude","vs/5/prefix","vs/5/accessible","vs/5/localizedAt","vs/5/latitude","vs/5/longitude"
"1896-10",35288,2,"PÇA. RAMOS DE AZEVEDO","JARAGUÁ",1,11972,"true","2019-09-25T17:45:34Z",-23.5127383333333,-46.7412566666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8548-10",33346,2,"TERM. LAPA","JD. DOS CUNHAS",1,11231,"false","2019-09-25T17:53:56Z",-23.5127633333333,-46.7387566666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8400-10",34033,2,"PÇA. RAMOS DE AZEVEDO","TERM. PIRITUBA",4,11549,"true","2019-09-25T17:46:03Z",-23.49787,-46.7449933333333,11463,"true","2019-09-25T17:54:35Z",-23.4980933333333,-46.7453116666667,11535,"true","2019-09-25T17:54:36Z",-23.4983116666667,-46.7442283333333,11857,"true","2019-09-25T17:53:56Z",-23.4977033333333,-46.7449866666667,,,,,,,,,,
"847P-10",423,1,"VILA OLÍMPIA","TERM. PIRITUBA",4,11880,"true","2019-09-25T17:54:04Z",-23.4975883333333,-46.7453,11711,"true","2019-09-25T17:54:26Z",-23.4983916666667,-46.7455883333333,11450,"true","2019-09-25T17:45:30Z",-23.4984916666667,-46.7456866666667,11443,"true","2019-09-25T17:43:15Z",-23.4983183333333,-46.7440316666667,,,,,,,,,,
"8008-10",34026,2,"TERM. PIRITUBA","STA. MÔNICA",1,11313,"true","2019-09-25T17:54:35Z",-23.4987816666667,-46.7439216666667,,,,,,,,,,,,,,,,,,,,,,,,,
"119L-1",35268,2,"TERM. LAPA","VL. SULINA",1,11632,"true","2019-09-25T17:46:00Z",-23.5129266666667,-46.7388416666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8594-41",33202,2,"PÇA. RAMOS DE AZEVEDO","COHAB PEDRA VERDE",1,11849,"true","2019-09-25T17:54:08Z",-23.4984466666667,-46.7453533333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8528-10",575,1,"PÇA. DO CORREIO","JD. GUARANI",1,11503,"true","2019-09-25T17:54:10Z",-23.5127583333333,-46.73995,,,,,,,,,,,,,,,,,,,,,,,,,
"8040-10",406,1,"TERM. LAPA","SOL NASCENTE",2,11294,"true","2019-09-25T17:54:08Z",-23.5128666666667,-46.7388366666667,11620,"true","2019-09-25T17:54:28Z",-23.5121216666667,-46.7399716666667,,,,,,,,,,,,,,,,,,,,
"9653-10",33356,2,"PÇA. DO CORREIO","PEDRA BRANCA",6,11329,"true","2019-09-25T17:45:50Z",-23.5133066666667,-46.7397066666667,11363,"true","2019-09-25T17:54:09Z",-23.5125866666667,-46.7403433333333,11986,"true","2019-09-25T17:45:33Z",-23.512275,-46.7388483333333,11566,"true","2019-09-25T17:53:52Z",-23.512475,-46.7400566666667,11278,"true","2019-09-25T17:45:52Z",-23.5126483333333,-46.7413916666667,11581,"true","2019-09-25T17:54:25Z",-23.5131533333333,-46.7390666666667
"9501-10",462,1,"LGO. DO PAISSANDÚ","TERM. CACHOEIRINHA",4,11009,"true","2019-09-25T17:45:51Z",-23.5125516666667,-46.7393766666667,11034,"true","2019-09-25T17:54:32Z",-23.5121133333333,-46.7409683333333,11063,"true","2019-09-25T17:53:54Z",-23.5127316666667,-46.740615,11062,"true","2019-09-25T17:54:02Z",-23.51296,-46.7396566666667,,,,,,,,,,
"8100-10",34030,2,"TERM. LAPA","TERM. PIRITUBA",3,11889,"true","2019-09-25T17:54:00Z",-23.4984383333333,-46.7455416666667,11432,"true","2019-09-25T17:54:31Z",-23.4984266666667,-46.7437183333333,11877,"true","2019-09-25T17:45:40Z",-23.4984833333333,-46.7458283333333,,,,,,,,,,,,,,,
"209P-1",2301,1,"TERM. PINHEIROS","CACHOEIRINHA",1,11111,"true","2019-09-25T17:54:13Z",-23.5121733333333,-46.7412433333333,,,,,,,,,,,,,,,,,,,,,,,,,
"189L-10",2450,1,"LAPA","CONEXÃO VL. IÓRIO",1,11004,"true","2019-09-25T17:54:06Z",-23.5124283333333,-46.7399333333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8006-10",34024,2,"TERM. PIRITUBA","JD. DONÁRIA",2,11372,"true","2019-09-25T17:54:33Z",-23.5123033333333,-46.7388233333333,11351,"true","2019-09-25T17:45:29Z",-23.5126316666667,-46.7392366666667,,,,,,,,,,,,,,,,,,,,
"917H-10",33224,2,"METRÔ VL. MARIANA","TERM. PIRITUBA",1,11738,"true","2019-09-25T17:54:14Z",-23.4982733333333,-46.7459566666667,,,,,,,,,,,,,,,,,,,,,,,,,
"129F-10",2304,1,"METRÔ BARRA FUNDA","CONEXÃO PETRÔNIO PORTELA",3,11084,"true","2019-09-25T17:54:32Z",-23.51208,-46.7411066666667,11021,"true","2019-09-25T17:54:30Z",-23.5121466666667,-46.7414566666667,11025,"true","2019-09-25T17:54:11Z",-23.5120766666667,-46.7414583333333,,,,,,,,,,,,,,,
"8050-10",33180,2,"LAPA","PQ. MORRO DOCE",1,11038,"true","2019-09-25T17:54:03Z",-23.5125016666667,-46.7391816666667,,,,,,,,,,,,,,,,,,,,,,,,,
"209P-1",35069,2,"TERM. PINHEIROS","CACHOEIRINHA",3,11055,"true","2019-09-25T17:45:35Z",-23.5128366666667,-46.7394433333333,11114,"true","2019-09-25T17:54:20Z",-23.5120166666667,-46.7416083333333,11065,"true","2019-09-25T17:54:31Z",-23.5120666666667,-46.7412366666667,,,,,,,,,,,,,,,
"9301-10",458,1,"PÇA. DO CORREIO","TERM. CASA VERDE",1,11704,"true","2019-09-25T17:45:25Z",-23.5121883333333,-46.7392233333333,,,,,,,,,,,,,,,,,,,,,,,,,
"917H-10",456,1,"METRÔ VL. MARIANA","TERM. PIRITUBA",1,11425,"true","2019-09-25T17:54:05Z",-23.4980983333333,-46.7453983333333,,,,,,,,,,,,,,,,,,,,,,,,,
"978L-10",33234,2,"TERM. PRINC. ISABEL","TERM. CACHOEIRINHA",3,11324,"true","2019-09-25T17:54:20Z",-23.5121533333333,-46.7398266666667,11381,"true","2019-09-25T17:54:08Z",-23.5133316666667,-46.7393133333333,11327,"true","2019-09-25T17:54:36Z",-23.5126583333333,-46.7414166666667,,,,,,,,,,,,,,,
"8047-41",33178,2,"METRÔ VL. MADALENA","JARAGUÁ",1,11635,"true","2019-09-25T17:54:05Z",-23.5121666666667,-46.7391983333333,,,,,,,,,,,,,,,,,,,,,,,,,
"8500-10",1267,1,"METRÔ BARRA FUNDA","TERM. PIRITUBA",2,11875,"true","2019-09-25T17:54:09Z",-23.4983716666667,-46.7449633333333,11840,"true","2019-09-25T17:54:27Z",-23.4981083333333,-46.7454583333333,,,,,,,,,,,,,,,,,,,,
"8549-10",580,1,"PÇA. DO CORREIO","TAIPAS",2,11567,"true","2019-09-25T17:54:35Z",-23.512095,-46.7401016666667,11964,"true","2019-09-25T17:54:25Z",-23.5126966666667,-46.7394166666667,,,,,,,,,,,,,,,,,,,,
"847P-42",1424,1,"VILA OLÍMPIA","BRASILÂNDIA",2,11586,"true","2019-09-25T17:45:44Z",-23.5126583333333,-46.741445,11695,"true","2019-09-25T17:45:51Z",-23.5130266666667,-46.7390683333333,,,,,,,,,,,,,,,,,,,,
"847J-10",34110,2,"JAGUARÉ","CITY JARAGUÁ",1,11333,"true","2019-09-25T17:54:26Z",-23.5126783333333,-46.74031,,,,,,,,,,,,,,,,,,,,,,,,,
"8047-51",33179,2,"LAPA","JARAGUÁ",1,11375,"true","2019-09-25T17:53:59Z",-23.5133283333333,-46.7394733333333,,,,,,,,,,,,,,,,,,,,,,,,,
"847P-10",33191,2,"VILA OLÍMPIA","TERM. PIRITUBA",3,11899,"true","2019-09-25T17:45:35Z",-23.4984266666667,-46.7454316666667,11552,"true","2019-09-25T17:54:19Z",-23.4978816666667,-46.7449266666667,11428,"true","2019-09-25T17:54:21Z",-23.4983616666667,-46.74386,,,,,,,,,,,,,,,
"957T-10",33232,2,"VILA OLÍMPIA","COHAB TAIPAS",1,11674,"true","2019-09-25T17:54:16Z",-23.5124866666667,-46.7401066666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8528-10",33343,2,"PÇA. DO CORREIO","JD. GUARANI",5,11362,"true","2019-09-25T17:54:12Z",-23.5126866666667,-46.73959,11580,"true","2019-09-25T17:54:31Z",-23.5121366666667,-46.7406833333333,11498,"true","2019-09-25T17:54:35Z",-23.5132683333333,-46.7395716666667,11109,"true","2019-09-25T17:54:11Z",-23.5120366666667,-46.7415366666667,11368,"true","2019-09-25T17:54:22Z",-23.5120733333333,-46.7404116666667,,,,,
"8594-10",33200,2,"PÇA. RAMOS DE AZEVEDO","CID. D'ABRIL ",1,11846,"true","2019-09-25T17:53:35Z",-23.4976533333333,-46.7452716666667,,,,,,,,,,,,,,,,,,,,,,,,,
"8050-31",33183,2,"LAPA","PQ. MORRO DOCE",1,11645,"true","2019-09-25T17:54:26Z",-23.5125316666667,-46.7396283333333,,,,,,,,,,,,,,,,,,,,,,,,,
